Academic_year,State,Latitude,Longitude,Population_level,Total_waste_generated_TPA
2019-2020,Delhi,28.707355,77.102033,,230525
2019-2020,Punjab,31.170079,75.328647,,92890
2019-2020,Rajasthan,27.057701,74.215467,,51966
2019-2020,Bihar,25.136656,85.305058,,41365
2019-2020,Madhya Pradesh,22.993702,78.645971,,121079
2019-2020,Andaman And Nicobar Islands,11.791951,92.639672,,387
2019-2020,"Daman, Diu, Dadra And Nagar Haveli",20.227,73.0169,,1948
2019-2020,Goa,15.2993265,74.123996,,26068.3
2019-2020,Karnataka,15.3172775,75.7138884,,298380
2019-2020,Uttarakhand,30.066753,79.0192997,,25203.038
2019-2020,Chhattisgarh,21.2786567,81.8661442,,32850
2019-2020,Jammu and Kashmir,33.277839,75.3412179,,74826.33
2019-2020,Haryana,29.0587757,76.085601,,190163.9
2019-2020,Puducherry,11.9415915,79.8083133,,11753
2019-2020,Jharkhand,23.6101808,85.2799354,,43332
2019-2020,Maharashtra,19.7514798,75.7138884,,443724
2019-2020,West Bengal ,22.9868,87.855,,300236
2019-2020,Uttar pradesh,26.8467,80.9462,,161148
2019-2020,Odisha ,20.9517,85.0985,,45339.4
2019-2020,Assam,26.2006,92.9376,,24971
2019-2020,Telengana,18.1124,79.0193,,233655
2019-2020,Tamil Nadu ,13.09,80.27,"81,565,834",431472
2019-2020,Andhra Pradesh ,17.366,78.476,"52,610,934",46222
2019-2020,Sikkim,27.33,88.62,"665,821",99.6