States,Year,Natural_Calamities,Wind_speed,Rainfall_Actual,Rainfall_Normal,Population_Urban,Population_Rural,Fishing_Inland,Fishing_Marine,Harbour_Plastic,MSW,Beach_plastics,Climate_change,Plastic_entering_sea
Tripura,2016,0,16.25,1244,1496.9,1238000,2646000,0.72,0.00,0.00,156253,0,0,1631.28
Uttar Pradesh,2016,1,21.65,1430.4,1667,50063000,167012000,6.18,0.00,0.00,5657500,0,0,59064.30
Uttarakhand,2016,1,17.3,1104.2,1229.1,3537000,7261000,0.04,0.00,0.00,430700,0,1,4496.51
West Bengal,2016,1,22.55,3159.1,3174.1,32431000,62851000,15.25,1.77,290.26,5110000,1227.37,0,53348.40
Andaman and Nicobar Islands,2015,0,33.4,1678.5,1682.5,156000,234000,0.00,0.37,0.00,34856,0,0,363.90
Andhra Pradesh,2015,0,31.35,1000.3,979.4,16335000,34797000,18.32,5.20,57.73,2350600,8696.41,0,24540.26
Arunachal Pradesh,2015,0,7,1875,1768,346000,1102000,0.04,0.00,0.00,4745,0,0,49.54
Assam,2015,1,7.8,1747.7,1792.8,4814000,28092000,2.94,0.00,0.00,2890800,0,0,30179.95
Bihar,2015,0,24.3,742.3,1027.6,13156000,99676000,5.07,0.00,0.00,1072234,0,0,11194.12
Chandigarh,2015,0,15.7,295.5,466.3,1110000,15000,0.00,0.00,0.00,135050,0,0,1409.92
Chhattisgarh,2015,0,17.9,1009.8,1147.3,6732000,20569000,3.42,0.00,0.00,819516,0,0,8555.75
Dadra and Nagar Haveli and Daman and Diu,2015,0,20.2,1161.9,1403.5,570000,232000,0.00,0.23,0.00,33556,714.21,0,350.33
Delhi,2015,0,19.9,295.5,466.3,18145000,280000,0.01,0.00,0.00,3511300,0,0,36657.97
Goa,2015,0,18.3,2005,2914.3,1012000,493000,0.05,1.07,0.93,71770,714.21,0,749.28
Gujarat,2015,1,29.3,1161.9,1403.5,28952000,35577000,1.12,6.97,186.45,3467027,10846.3,0,36195.76
Haryana,2015,0,17.8,295.5,466.3,10200000,16975000,1.21,0.00,0.00,1765633,0,0,18433.21
Himachal Pradesh,2015,0,14.7,638.3,825.3,721000,6398000,0.12,0.00,0.00,126292,0,1,1318.49
Jammu and Kashmir,2015,1,11.55,614,534.6,3662000,9151000,0.20,0.00,0.00,1303050,0,0,13603.84
Jharkhand,2015,0,21.7,941.9,1091.9,8798000,26627000,1.16,0.00,0.00,596593,0,0,6228.43
Karnataka,2015,0,28.35,3249.7,4249.8,26000000,37811000,1.69,4.12,20.74,3227330,2498.52,0,33693.33
Kerala,2015,0,22.55,1514.7,2039.6,19969000,14453000,2.11,5.17,46.33,1213476,5089.05,0,12668.69
Lakshadweep,2015,0,29.8,860.9,998.5,59000,7000,0.00,0.16,0.00,12584,0,0,131.38
Madhya Pradesh,2015,1,26.35,1659.6,1927.3,21943000,56039000,1.15,0.00,0.00,2437470,0,0,25447.19
Maharashtra,2015,1,23.35,3753.7,5281.1,54731000,63149000,1.46,4.34,567.64,7981554,5825.05,0,83327.42
Manipur,2015,1,8.1,1050.3,1496.9,909000,2079000,0.32,0.00,0.00,40105,0,0,418.70
Meghalaya,2015,0,11,1747.7,1792.8,630000,2475000,0.11,0.00,0.00,68255,0,0,712.58
Mizoram,2015,0,7,1050.3,1496.9,611000,537000,0.07,0.00,0.00,71819,0,0,749.79
Nagaland,2015,0,6,1050.3,1496.9,722000,1348000,0.08,0.00,0.00,102017,0,0,1065.06
Odisha,2015,1,21.15,1034.4,1149.9,7627000,36073000,3.77,1.45,15.09,939766,4256.21,0,9811.15
Puducherry,2015,0,29.8,285.8,317.2,954000,427000,0.07,0.47,0.00,147727,271.158,0,1542.27
Punjab,2015,0,16.5,336.3,491.9,11307000,17647000,1.20,0.00,0.00,1626513,0,0,16980.80
Rajasthan,2015,1,26.6,940.6,879,18748000,54733000,0.42,0.00,0.00,2324968,0,0,24272.67
Sikkim,2015,0,14.7,1883,2006.2,214000,425000,0.00,0.00,0.00,26205,0,1,273.58
Tamil Nadu,2015,1,24.85,285.8,317.2,37372000,36931000,2.43,4.67,153.40,83950,8095.99,0,876.44
Telangana,2015,0,28.6,600.8,755.2,15231000,21012000,2.37,0.00,0.00,2419220,0,0,25256.66
Tripura,2015,0,14.05,1050.3,1496.9,1184000,2660000,0.69,0.00,0.00,151110,0,0,1577.59
Uttar Pradesh,2015,0,22.45,912,1667,49021000,164896000,5.05,0.00,0.00,5545080,0,0,57890.64
Uttarakhand,2015,0,15.95,881.5,1229.1,3444000,7222000,0.04,0.00,0.00,334705,0,1,3494.32
West Bengal,2015,1,24.95,3148.5,3174.1,31804000,62768000,14.93,1.78,288.09,4366282,1404.21,0,45583.99
Andaman and Nicobar Islands,2014,0,36.6,1618.6,1682.5,153000,235000,0.00,0.38,0.00,34677,0,0,362.03
Andhra Pradesh,2014,1,27.5,757.3,979.4,15928000,34845000,27.16,5.63,57.73,2338592,19034.2,0,24414.90
Arunachal Pradesh,2014,1,7.95,1747.6,1768,339000,1094000,0.04,0.00,0.00,49471,0,0,516.48
Assam,2014,1,10.35,1635.1,1792.8,4716000,27798000,3.15,0.00,0.00,1640414,0,0,17125.93
Bihar,2014,1,20.75,849.3,1027.6,12829000,97988000,5.41,0.00,0.00,1053086,0,0,10994.21
Chandigarh,2014,0,15.6,203.2,466.3,1091000,18000,0.00,0.00,0.00,163113,0,0,1702.90
Chhattisgarh,2014,1,15.7,1104.8,1147.3,6545000,20351000,4.27,0.00,0.00,952666,0,0,9945.83
Dadra and Nagar Haveli and Daman and Diu,2014,0,22.8,1231.7,1374.5,629000,232000,0.00,0.32,0.00,36025,1563.22,0,376.10
Delhi,2014,0,17.3,203.2,466.3,17737000,310000,0.01,0.00,0.00,3552416,0,0,37087.22
Goa,2014,0,22,2752.8,2914.3,988000,506000,0.05,1.09,0.91,71246,1563.22,0,743.81
Gujarat,2014,1,24.95,1231.7,1374.5,28199000,35386000,1.27,6.70,183.87,3416308,23739.7,0,35666.25
Haryana,2014,0,14.5,203.2,466.3,9879000,16875000,1.57,0.00,0.00,1697998,0,0,17727.10
Himachal Pradesh,2014,1,15.5,521.8,825.3,714000,6347000,0.13,0.00,0.00,125263,0,1,1307.75
Jammu and Kashmir,2014,1,13.1,633,534.6,3594000,9093000,0.20,0.00,0.00,682337,0,0,7123.60
Jharkhand,2014,0,16.55,930.1,1091.9,8595000,26268000,1.68,0.00,0.00,671420,0,0,7009.63
Karnataka,2014,1,25.2,4401.2,4249.8,25442000,37742000,1.83,3.93,42.15,3391859,5468.62,0,35411.01
Kerala,2014,0,18.8,2163,2039.6,19024000,15164000,1.88,4.94,46.93,1205227,11138.6,0,12582.57
Lakshadweep,2014,0,35,955.3,998.5,57000,9000,0.00,0.21,0.00,12584,0,0,131.38
Madhya Pradesh,2014,1,21.4,1518.9,1927.3,21507000,55239000,1.47,0.00,0.00,2412598,0,0,25187.52
Maharashtra,2014,1,20.35,4644.2,5281.1,53819000,62790000,1.35,4.43,476.15,8151388,12749.5,0,85100.49
Manipur,2014,0,10.9,1118.8,1496.9,891000,2066000,0.31,0.00,0.00,39689,0,0,414.35
Meghalaya,2014,1,11.6,1635.1,1792.8,622000,2450000,0.12,0.00,0.00,53762,0,0,561.27
Mizoram,2014,0,9.4,1118.8,1496.9,602000,534000,0.07,0.00,0.00,71068,0,0,741.95
Nagaland,2014,0,7.7,1118.8,1496.9,686000,1363000,0.09,0.00,0.00,100982,0,0,1054.26
Odisha,2014,1,18.5,1256.9,1149.9,7481000,35821000,5.11,1.49,1.01,540396,9315.73,0,5641.73
Puducherry,2014,0,25.85,315.2,317.2,931000,420000,0.06,0.41,0.00,144518,593.494,0,1508.77
Punjab,2014,0,14.45,243.9,491.9,11095000,17579000,1.32,0.00,0.00,1572217,0,0,16413.95
Rajasthan,2014,0,23.9,881.4,879,18351000,53992000,0.60,0.00,0.00,2288961,0,0,23896.75
Sikkim,2014,0,18.1,1864.5,2006.2,199000,433000,0.00,0.00,0.00,25918,0,1,270.58
Tamil Nadu,2014,1,23.95,315.2,317.2,36799000,37007000,1.91,4.99,400.33,4044864,17720,0,42228.38
Telangana,2014,0,23.05,498.5,755.2,14849000,21102000,2.52,0.00,0.00,2939779,0,0,30691.29
Tripura,2014,0,11.9,1118.8,1496.9,1131000,2673000,0.71,0.00,0.00,145024,0,0,1514.05
Uttar Pradesh,2014,1,18.15,858.4,1667,47964000,162698000,5.95,0.00,0.00,5456465,0,0,56965.49
Uttarakhand,2014,1,15.6,897.6,1229.1,3351000,7181000,0.04,0.00,0.00,440434,0,1,4598.13
West Bengal,2014,0,25.1,2865.6,3174.1,31167000,62644000,15.29,1.70,287.58,4331148,3073.45,0,45217.18
Andaman and Nicobar Islands,2013,0,36.85,2152.1,1682.5,150000,236000,0.00,0.38,0.00,34499,0,0,360.17
Andhra Pradesh,2013,1,27.2,944.6,979.4,15526000,34888000,26.97,5.59,109.56,2322057,8750.104355,0,24242.27
Arunachal Pradesh,2013,1,7.2,1165.9,1768,333000,1085000,0.04,0.00,0.00,48953,0,0,511.07
Assam,2013,1,9.45,1168.4,1792.8,4620000,27501000,3.11,0.00,0.00,1620586,0,0,16918.92
Bihar,2013,1,18.7,722.2,1027.6,12505000,96297000,5.31,0.00,0.00,1033937,0,0,10794.30
Chandigarh,2013,0,15.5,363.3,466.3,1072000,21000,0.00,0.00,0.00,160760,0,0,1678.34
Chhattisgarh,2013,1,15.25,1165.1,1147.3,6360000,20131000,4.21,0.00,0.00,938320,0,0,9796.06
Dadra and Nagar Haveli and Daman and Diu,2013,0,21.9,1961.1,1374.5,688000,232000,0.00,0.34,0.00,38493,1435.608097,0,401.87
Delhi,2013,1,15.9,363.3,466.3,17328000,342000,0.01,0.00,0.00,3478206,0,0,36312.47
Goa,2013,0,22.4,3498.4,2914.3,963000,520000,0.05,1.08,1.03,70721,1435.608097,0,738.33
Gujarat,2013,1,21.9,1961.1,1374.5,27454000,35188000,1.26,6.60,174.34,3365642,10677.83217,0,35137.30
Haryana,2013,0,15.2,363.3,466.3,9564000,16769000,1.55,0.00,0.00,1671278,0,0,17448.15
Himachal Pradesh,2013,1,17,774.2,825.3,706000,6296000,0.13,0.00,0.00,124216,0,1,1296.82
Jammu and Kashmir,2013,1,14.25,651.9,534.6,3526000,9035000,0.20,0.00,0.00,675560,0,0,7052.85
Jharkhand,2013,0,17.05,844.5,1091.9,8395000,25905000,1.65,0.00,0.00,660578,0,0,6896.43
Karnataka,2013,1,25.5,4981.4,4249.8,24891000,37667000,1.82,3.89,12.36,3358254,2495.182683,0,35060.17
Kerala,2013,1,19.55,2561.2,2039.6,18086000,15867000,1.87,4.91,0.01,1196942,5123.603286,0,12496.08
Lakshadweep,2013,0,36,1057,998.5,55000,10000,0.00,0.21,0.00,12394,0,0,129.39
Madhya Pradesh,2013,1,20.6,2607.3,1927.3,21073000,54437000,1.44,0.00,0.00,2373743,0,0,24781.88
Maharashtra,2013,1,20.95,6485.2,5281.1,52912000,62427000,1.34,4.38,710.65,8062611,5798.988341,0,84173.65
Manipur,2013,0,9.5,995.2,1496.9,874000,2052000,0.31,0.00,0.00,39273,0,0,410.01
Meghalaya,2013,0,11.25,1168.4,1792.8,614000,2426000,0.12,0.00,0.00,53202,0,0,555.43
Mizoram,2013,0,10,995.2,1496.9,593000,531000,0.07,0.00,0.00,70318,0,0,734.11
Nagaland,2013,0,7.3,995.2,1496.9,651000,1376000,0.08,0.00,0.00,99898,0,0,1042.94
Odisha,2013,1,19.65,1115.6,1149.9,7336000,35568000,5.06,1.48,0.49,535429,4256.822054,0,5589.88
Puducherry,2013,0,27,321.5,317.2,907000,413000,0.06,0.40,0.00,141202,261.0016137,0,1474.15
Punjab,2013,0,14.95,479.7,491.9,10884000,17511000,1.30,0.00,0.00,1556920,0,0,16254.24
Rajasthan,2013,0,22.3,1114,879,17957000,53247000,0.59,0.00,0.00,2252923,0,0,23520.51
Sikkim,2013,0,18.3,1717.6,2006.2,185000,441000,0.00,0.00,0.00,25672,0,1,268.01
Tamil Nadu,2013,0,23.6,321.5,317.2,36229000,37079000,1.89,4.96,255.96,4017572,8157.126432,0,41943.45
Telangana,2013,0,23.1,949.2,755.2,14472000,21188000,2.50,0.00,0.00,2915984,0,0,30442.87
Tripura,2013,0,13.75,995.2,1496.9,1078000,2686000,0.70,0.00,0.00,143499,0,0,1498.13
Uttar Pradesh,2013,1,17.95,1623.2,1667,46914000,160493000,5.86,0.00,0.00,5372155,0,0,56085.30
Uttarakhand,2013,1,16.05,1373,1229.1,3259000,7139000,0.04,0.00,0.00,434830,0,1,4539.63
West Bengal,2013,1,25.9,2885.3,3174.1,30537000,62514000,15.16,1.68,285.25,4296060,1409.11754,0,44850.86
Andaman and Nicobar Islands,2012,0,39.9,2054.7,1682.5,147000,237000,0.00,0.38,0.00,34320,0,0,358.30
Andhra Pradesh,2012,0,24.9,1012.5,979.4,15130000,34926000,26.78,5.55,109.56,2305567,8687.968096,0,24070.12
Arunachal Pradesh,2012,0,7.8,1846.1,1768,326000,1077000,0.04,0.00,0.00,48435,0,0,505.66
Assam,2012,1,9.8,1738.4,1792.8,4525000,27204000,3.07,0.00,0.00,1600809,0,0,16712.45
Bihar,2012,0,20.3,813,1027.6,12183000,94604000,5.21,0.00,0.00,1014789,0,0,10594.39
Chandigarh,2012,0,16.4,282.9,466.3,1053000,24000,0.00,0.00,0.00,158407,0,0,1653.77
Chhattisgarh,2012,0,16.1,1227.5,1147.3,6178000,19908000,4.14,0.00,0.00,923975,0,0,9646.30
Dadra and Nagar Haveli and Daman and Diu,2012,0,22.6,958.7,1374.5,748000,231000,0.00,0.36,0.00,40962,1425.927665,0,427.64
Delhi,2012,0,19.4,282.9,466.3,16918000,374000,0.01,0.00,0.00,3403800,,0,35535.67
Goa,2012,0,22,2817.6,2914.3,939000,534000,0.05,1.07,14.42,70244,1425.927665,0,733.35
Gujarat,2012,0,23.05,958.7,1374.5,26717000,34981000,1.24,6.50,174.34,3314923,10516.91978,0,34607.79
Haryana,2012,0,16,282.9,466.3,9252000,16660000,1.53,0.00,0.00,1644559,0,0,17169.19
Himachal Pradesh,2012,1,17.4,696.3,825.3,699000,6244000,0.12,0.00,0.00,123170,0,1,1285.89
Jammu and Kashmir,2012,1,13.55,558.8,534.6,3459000,8976000,0.20,0.00,0.00,668784,0,0,6982.10
Jharkhand,2012,0,16.1,938.5,1091.9,8196000,25542000,1.62,0.00,0.00,649754,0,0,6783.43
Karnataka,2012,0,24.4,3922.4,4249.8,24345000,37586000,1.80,3.85,12.36,3324595,2470.174219,0,34708.77
Kerala,2012,0,19.3,1547.7,2039.6,17157000,16562000,1.86,4.87,18.16,1188693,5088.292027,0,12409.96
Lakshadweep,2012,0,31.8,1147.1,998.5,53000,12000,0.00,0.21,0.00,12394,0,0,129.39
Madhya Pradesh,2012,0,22.5,2018.3,1927.3,20642000,53633000,1.42,0.00,0.00,2334919,0,0,24376.56
Maharashtra,2012,0,20.3,4853.3,5281.1,52011000,62057000,1.32,4.33,13.25,7973763,5735.085288,0,83246.09
Manipur,2012,0,9.3,1122.6,1496.9,857000,2038000,0.31,0.00,0.00,38857,0,0,405.67
Meghalaya,2012,0,11.45,1738.4,1792.8,606000,2401000,0.12,0.00,0.00,52624,0,0,549.40
Mizoram,2012,0,10.6,1122.6,1496.9,584000,528000,0.07,0.00,0.00,69567,0,0,726.28
Nagaland,2012,0,7.6,1122.6,1496.9,616000,1389000,0.08,0.00,0.00,98814,0,0,1031.62
Odisha,2012,0,19.2,1144,1149.9,7193000,35312000,5.02,1.47,46.36,530450,4217.234324,0,5537.90
Puducherry,2012,0,28.75,243.5,317.2,884000,405000,0.06,0.39,0.00,137886,254.8720303,0,1439.53
Punjab,2012,0,15.6,265.9,491.9,10675000,17441000,1.29,0.00,0.00,1541622,0,0,16094.53
Rajasthan,2012,0,24.05,971.7,879,17566000,52500000,0.58,0.00,0.00,2216916,0,0,23144.60
Sikkim,2012,0,18.5,2091.3,2006.2,171000,448000,0.00,0.00,0.00,25385,0,1,265.02
Tamil Nadu,2012,0,23.35,243.5,317.2,35664000,37147000,1.88,4.92,209.94,3990334,8101.824258,0,41659.09
Telangana,2012,0,22.2,787.2,755.2,14099000,21269000,2.48,0.00,0.00,2892106,0,0,30193.59
Tripura,2012,0,13.85,1122.6,1496.9,1028000,2696000,0.69,0.00,0.00,141974,0,0,1482.21
Uttar Pradesh,2012,1,19.45,1346.6,1667,45872000,158280000,5.77,0.00,0.00,5287846,0,0,55205.11
Uttarakhand,2012,1,16.05,1122.2,1229.1,3168000,7097000,0.04,0.00,0.00,429268,0,1,4481.56
West Bengal,2012,0,23.95,3048,3174.1,29914000,62376000,15.04,1.67,197.80,4260925,1397.593338,0,44484.06
Andaman and Nicobar Islands,2011,0,37,2278.2,1682.5,144000,237000,0.00,0.38,0.00,34052,0,0,355.50
Andhra Pradesh,2011,0,27.05,915,979.4,14740000,34957000,26.58,5.51,12.98,2289032,6588.63,0,23897.49
Arunachal Pradesh,2011,0,7.4,1378,1768,319000,1069000,0.04,0.00,0.00,47917,0,0,500.26
Assam,2011,0,8.2,1256.7,1792.8,4430000,26906000,3.04,0.00,0.00,1580981,0,0,16505.44
Bihar,2011,1,19.8,1058.5,1027.6,11864000,92907000,5.11,0.00,0.00,995631,0,0,10394.39
Chandigarh,2011,0,15.4,379.2,466.3,1033000,28000,0.00,0.00,0.00,156053,0,0,1629.20
Chhattisgarh,2011,0,16,1220.4,1147.3,5997000,19683000,4.08,0.00,0.00,909595,0,0,9496.17
Dadra and Nagar Haveli and Daman and Diu,2011,0,23.4,1621,1374.5,808000,230000,0.00,0.38,0.00,43431,541.105,0,453.41
Delhi,2011,0,16.8,379.2,466.3,16506000,408000,0.01,0.00,0.00,3329393,,0,34758.86
Goa,2011,0,20.2,3716.3,2914.3,915000,547000,0.05,1.06,3.64,69720,541.105,0,727.88
Gujarat,2011,0,23.45,1621,1374.5,25987000,34767000,1.22,6.40,171.67,3264203,8217.44,0,34078.28
Haryana,2011,0,15.6,379.2,466.3,8944000,16548000,1.50,0.00,0.00,1617903,0,0,16890.90
Himachal Pradesh,2011,0,14.6,732.8,825.3,691000,6193000,0.12,0.00,0.00,122123,0,1,1274.96
Jammu and Kashmir,2011,0,13.7,520.6,534.6,3393000,8916000,0.19,0.00,0.00,662007,0,0,6911.36
Jharkhand,2011,0,14.85,1160.6,1091.9,7999000,25177000,1.60,0.00,0.00,638931,0,0,6670.44
Karnataka,2011,0,25.3,4856.5,4249.8,23805000,37499000,1.78,3.81,12.24,3290936,1892.95,0,34357.38
Kerala,2011,1,17.9,2216,2039.6,16240000,17244000,1.84,4.84,39.47,1180409,3855.59,0,12323.47
Lakshadweep,2011,0,36.9,1014,998.5,51000,14000,0.00,0.21,0.00,12394,0,0,129.39
Madhya Pradesh,2011,0,19.1,2256.8,1927.3,20212000,52827000,1.40,0.00,0.00,2296064,0,0,23970.91
Maharashtra,2011,0,20.15,6008,5281.1,51116000,61682000,1.31,4.28,1.26,7884986,4413.21,0,82319.25
Manipur,2011,0,8.9,1094.6,1496.9,840000,2024000,0.30,0.00,0.00,38441,0,0,401.32
Meghalaya,2011,0,10.95,1256.7,1792.8,598000,2377000,0.12,0.00,0.00,52064,0,0,543.55
Mizoram,2011,0,8.9,1094.6,1496.9,575000,525000,0.07,0.00,0.00,68816,0,0,718.44
Nagaland,2011,0,8,1094.6,1496.9,582000,1402000,0.08,0.00,0.00,97779,0,0,1020.81
Odisha,2011,1,16.45,1107.6,1149.9,7051000,35056000,4.97,1.45,45.92,525483,3224.61,0,5486.04
Puducherry,2011,0,26.75,298.9,317.2,861000,397000,0.06,0.38,0.00,134570,205.436,0,1404.91
Punjab,2011,0,14.6,459.4,491.9,10468000,17368000,1.28,0.00,0.00,1526269,0,0,15934.25
Rajasthan,2011,0,20.75,1230.6,879,17177000,51751000,0.57,0.00,0.00,2180909,0,0,22768.69
Sikkim,2011,0,18.2,1871.4,2006.2,158000,454000,0.00,0.00,0.00,25098,0,1,262.02
