Region_Area_State,Year,Wind_speed,Rainfall_actual,Rainfall_normal,Population_Urban,Population_Rural,Fishing_Inland,Fishing_Marine,MSW,Atmosheric_Microplastics,Beach_Plastics,Summer,Spring,Winter,Covid_19,Plastic_Production
Uttar Pradesh,2016,21.8,1430.4,1667,50063000,167012000,6.18,0.00,5657500,42794.040,,33.07,26.56,20.09,,152492.6445
Uttarakhand,2016,15.4,1104.2,1229.1,3537000,7261000,0.04,0.00,430700,10490.401,,20.51,15.26,10.05,,24333.1539
West Bengal,2016,23.5,3159.1,3174.1,32431000,62851000,15.25,1.77,5110000,92567.735,1227.37,31.24,26.07,20.95,,294587.3868
Andaman and Nicobar Islands,2015,33.1,1678.5,1682.5,156000,234000,0.00,0.37,34856,261.510,,31.3,27.65,24.04,,379.2211
Andhra Pradesh,2015,32.8,1000.3,979.4,16335000,34797000,18.32,5.20,2350600,34286.027,8696.41,33.5,28.05,22.65,,128480
Arunachal Pradesh,2015,6.9,1875,1768,346000,1102000,0.04,0.00,4745,970.941,,,,,,14.5
Assam,2015,7.9,1747.7,1792.8,4814000,28092000,2.94,0.00,2890800,22064.774,,,,,,24010
Bihar,2015,25.3,742.3,1027.6,13156000,99676000,5.07,0.00,1072234,75658.316,,31.26,25.3,19.39,,38857.2163
Chandigarh,2015,15.7,295.5,466.3,1110000,15000,0.00,0.00,135050,754.357,,29.64,23.78,17.95,,8383
Chhattisgarh,2015,21.8,1009.8,1147.3,6732000,20569000,3.42,0.00,819516,18306.400,,32.19,26.16,20.19,,31084.079
Dadra and Nagar Haveli and Daman and Diu,2015,20.2,1161.9,1403.5,570000,232000,0.00,0.23,33556,537.773,714.21,,,,,2444.9076
Delhi,2015,19.9,295.5,466.3,18145000,280000,0.01,0.00,3511300,125166.120,,31.62,25.51,19.46,,213010.1868
Goa,2015,18.3,2005,2914.3,1012000,493000,0.05,1.07,71770,1009.162,714.21,31.72,27.33,22.99,,106
Gujarat,2015,28.2,1161.9,1403.5,28952000,35577000,1.12,6.97,3467027,22114.250,10846.3,34.16,27.62,21.14,,269294.88
Haryana,2015,17.8,295.5,466.3,10200000,16975000,1.21,0.00,1765633,125166.120,,31.55,25.24,18.99,,139364.4409
Himachal Pradesh,2015,14.7,638.3,825.3,721000,6398000,0.12,0.00,126292,4773.571,,15.01,10.17,5.35,,13316.3741
Jammu and Kashmir,2015,9,614,534.6,3662000,9151000,0.20,0.00,1303050,8591.623,,,,,,6243.2
Jharkhand,2015,20.8,941.9,1091.9,8798000,26627000,1.16,0.00,596593,23753.863,,30.78,24.85,18.98,,35853.52
Karnataka,2015,24.6,3249.7,4249.8,26000000,37811000,1.69,4.12,3227330,11582.370,2498.52,31.89,26.46,21.07,,129600
Kerala,2015,24.1,1514.7,2039.6,19969000,14453000,2.11,5.17,1213476,23081.312,5089.05,30.82,26.74,22.71,,128546.8879
Lakshadweep,2015,29.8,860.9,998.5,59000,7000,0.00,0.16,12584,44.256,,31.03,27.98,24.98,,44.647
Madhya Pradesh,2015,26.4,1659.6,1927.3,21943000,56039000,1.15,0.00,2437470,52290.014,,32.56,25.96,19.42,,30884.47
Maharashtra,2015,22.6,3753.7,5281.1,54731000,63149000,1.46,4.34,7981554,18223.230,5825.05,33.64,27.21,20.84,,469098
Manipur,2015,8.1,1050.3,1496.9,909000,2079000,0.32,0.00,40105,2003.572,,24.15,19.53,14.96,,30
Meghalaya,2015,8.4,1747.7,1792.8,630000,2475000,0.11,0.00,68255,2082.025,,25.87,21.55,17.28,,13.94
Mizoram,2015,7,1050.3,1496.9,611000,537000,0.07,0.00,71819,769.779,,25.69,21.23,16.81,,6396
Nagaland,2015,6,1050.3,1496.9,722000,1348000,0.08,0.00,102017,1388.017,,23.93,19.16,14.44,,542.7146
Odisha,2015,26.2,1034.4,1149.9,7627000,36073000,3.77,1.45,939766,29302.578,4256.21,31.4,26.03,20.71,,27859.17
Puducherry,2015,28.2,285.8,317.2,954000,427000,0.07,0.47,147727,926.015,271.158,32.67,28.68,24.75,,10713.4607
Punjab,2015,15.7,336.3,491.9,11307000,17647000,1.20,0.00,1626513,19414.802,,30.94,24.62,18.34,,48073.22
Rajasthan,2015,25,940.6,879,18748000,54733000,0.42,0.00,2324968,49271.915,,33.27,26.21,19.19,,49207.0159
Sikkim,2015,14.7,1883,2006.2,214000,425000,0.00,0.00,26205,428.475,,10.66,4.58,-1.47,,66.3022
Tamil Nadu,2015,25.8,285.8,317.2,37372000,36931000,2.43,4.67,83950,17063.340,8095.99,32.34,27.8,23.31,,150323.47
Telangana,2015,30.5,600.8,755.2,15231000,21012000,2.37,0.00,2419220,26992.480,,,,,,120961
Tripura,2015,21.1,1050.3,1496.9,1184000,2660000,0.69,0.00,151110,2577.554,,29.23,24.44,19.69,,30.7366
Uttar Pradesh,2015,23.4,912,1667,49021000,164896000,5.05,0.00,5545080,28748.390,,32.29,25.85,19.45,,130777.39
Uttarakhand,2015,15.1,881.5,1229.1,3444000,7222000,0.04,0.00,334705,7151.975,,19.2,14.27,9.38,,3016.3
West Bengal,2015,26.7,3148.5,3174.1,31804000,62768000,14.93,1.78,4366282,63414.265,1404.21,30.81,25.61,20.46,,292392.2498
Andaman and Nicobar Islands,2014,36.9,1618.6,1682.5,153000,235000,0.00,0.38,34677,523.959,,31.1,27.44,23.84,,2737
Andhra Pradesh,2014,29.8,757.3,979.4,15928000,34845000,27.16,5.63,2338592,68564.326,19034.2,33.47,28.02,22.62,,128480
Arunachal Pradesh,2014,8.7,1747.6,1768,339000,1094000,0.04,0.00,49471,1935.136,,24.45,19.02,13.64,,37.7
Assam,2014,9.9,1635.1,1792.8,4716000,27798000,3.15,0.00,1640414,43907.205,,28.4,23.52,18.68,,30828.1486
Bihar,2014,20.5,849.3,1027.6,12829000,97988000,5.41,0.00,1053086,149648.296,,31.29,25.34,19.43,,64526.8868
Chandigarh,2014,15.6,203.2,466.3,1091000,18000,0.00,0.00,163113,1497.604,,29.52,23.56,17.67,,11104.597
Chhattisgarh,2014,17.6,1104.8,1147.3,6545000,20351000,4.27,0.00,952666,36320.606,,32.05,26.02,20.04,,5668.6806
Dadra and Nagar Haveli and Daman and Diu,2014,22.8,1231.7,1374.5,629000,232000,0.00,0.32,36025,1162.702,1563.22,,,,,2477.0601
Delhi,2014,17.3,203.2,466.3,17737000,310000,0.01,0.00,3552416,24370.835,,31.36,25.21,19.12,,207409.9519
Goa,2014,22,2752.8,2914.3,988000,506000,0.05,1.09,71246,2017.511,1563.22,31.61,27.22,22.88,,104
Gujarat,2014,23.2,1231.7,1374.5,28199000,35386000,1.27,6.70,3416308,85865.769,23739.7,33.81,27.28,20.79,,265568.2
Haryana,2014,14.5,203.2,466.3,9879000,16875000,1.57,0.00,1697998,36128.848,,31.35,25.01,18.71,,64749.2393
Himachal Pradesh,2014,15.5,521.8,825.3,714000,6347000,0.13,0.00,125263,9535.239,,14.84,9.91,5.01,,1004
Jammu and Kashmir,2014,11,633,534.6,3594000,9093000,0.20,0.00,682337,17132.641,,,,,,4164.45
Jharkhand,2014,15.9,930.1,1091.9,8595000,26268000,1.68,0.00,671420,47079.316,,30.85,24.87,18.94,,35262.36
Karnataka,2014,24.5,4401.2,4249.8,25442000,37742000,1.83,3.93,3391859,85324.255,5468.62,31.84,26.41,21.03,,263331.9905
Kerala,2014,20.5,2163,2039.6,19024000,15164000,1.88,4.94,1205227,46167.790,11138.6,30.86,26.77,22.75,,130211.9077
Lakshadweep,2014,35,955.3,998.5,57000,9000,0.00,0.21,12584,89.127,,31.08,28.02,25.03,,145.791
Madhya Pradesh,2014,20.3,1518.9,1927.3,21507000,55239000,1.47,0.00,2412598,103638.504,,32.32,25.73,19.18,,27763.6
Maharashtra,2014,19.3,4644.2,5281.1,53819000,62790000,1.35,4.43,8151388,157469.866,12749.5,33.42,27,20.62,,393493.2957
Manipur,2014,10.9,1118.8,1496.9,891000,2066000,0.31,0.00,39689,3993.160,,24.75,19.92,15.14,,25
Meghalaya,2014,9.3,1635.1,1792.8,622000,2450000,0.12,0.00,53762,4148.457,,26.18,21.77,17.41,,13.94
Mizoram,2014,9.4,1118.8,1496.9,602000,534000,0.07,0.00,71068,1534.065,,26.14,21.52,16.96,,45625
Nagaland,2014,7.7,1118.8,1496.9,686000,1363000,0.09,0.00,100982,2766.988,,24.44,19.5,14.59,,257.498
Odisha,2014,22.6,1256.9,1149.9,7481000,35821000,5.11,1.49,540396,58475.419,9315.73,31.32,25.91,20.56,,1871.13
Puducherry,2014,25.8,315.2,317.2,931000,420000,0.06,0.41,144518,1824.403,593.494,32.71,28.72,24.79,,16425
Punjab,2014,15.6,243.9,491.9,11095000,17579000,1.32,0.00,1572217,38721.633,,30.8,24.42,18.1,,43282.27
Rajasthan,2014,23.9,881.4,879,18351000,53992000,0.60,0.00,2288961,97692.652,,33.02,25.95,18.93,,98895.8269
Sikkim,2014,18.1,1864.5,2006.2,199000,433000,0.00,0.00,25918,853.459,,10.89,4.9,-1.07,,5.4281
Tamil Nadu,2014,24.9,315.2,317.2,36799000,37007000,1.91,4.99,4044864,99668.301,17720,32.39,27.85,23.36,,392299.5275
Telangana,2014,25.2,498.5,755.2,14849000,21102000,2.52,0.00,2939779,48548.561,,,,,,123005
Tripura,2014,14.4,1118.8,1496.9,1131000,2673000,0.71,0.00,145024,5136.957,,29.59,24.68,19.82,,33
Uttar Pradesh,2014,19,858.4,1667,47964000,162698000,5.95,0.00,5456465,284479.902,,32.11,25.65,19.23,,93597.97
Uttarakhand,2014,15,897.6,1229.1,3351000,7181000,0.04,0.00,440434,14222.510,,19.03,14.02,9.05,,29622.024
West Bengal,2014,23.8,2865.6,3174.1,31167000,62644000,15.29,1.70,4331148,126683.237,3073.45,31.01,25.73,20.5,,291869.9549
Andaman and Nicobar Islands,2013,37.1,2152.1,1682.5,150000,236000,0.00,0.38,34499,521.258,0,31.04,27.4,23.82,,8.6
Andhra Pradesh,2013,29.7,944.6,979.4,15526000,34888000,26.97,5.59,2322057,68079.529,4.507959682,33.23,27.78,22.38,,243820
Arunachal Pradesh,2013,7.4,1165.9,1768,333000,1085000,0.04,0.00,48953,1914.880,0,24.19,18.73,13.31,,37.3053
Assam,2013,8.6,1168.4,1792.8,4620000,27501000,3.11,0.00,1620586,43376.494,0,28.1,23.14,18.22,,240
Bihar,2013,18.3,722.2,1027.6,12505000,96297000,5.31,0.00,1033937,146927.221,0,31.21,25.3,19.44,,63353.5859
Chandigarh,2013,15.5,363.3,466.3,1072000,21000,0.00,0.00,160760,1475.997,0,29.91,23.83,17.8,,4818
Chhattisgarh,2013,15.9,1165.1,1147.3,6360000,20131000,4.21,0.00,938320,35773.690,0,31.86,25.83,19.86,,5583.3216
Dadra and Nagar Haveli and Daman and Diu,2013,21.9,1961.1,1374.5,688000,232000,0.00,0.34,38493,1242.376,4.507959682,,,,,2646.8005
Delhi,2013,15.9,363.3,466.3,17328000,342000,0.01,0.00,3478206,23861.730,0,31.51,25.31,19.14,,203077.179
Goa,2013,22.4,3498.4,2914.3,963000,520000,0.05,1.08,70721,2002.657,4.507959682,31.35,26.96,22.62,,117.73
Gujarat,2013,20.5,1961.1,1374.5,27454000,35188000,1.26,6.60,3365642,84592.333,4.507959682,33.54,27,20.52,,251796.65
Haryana,2013,15.2,363.3,466.3,9564000,16769000,1.55,0.00,1671278,35560.325,0,31.61,25.2,18.84,,50332.69
Himachal Pradesh,2013,17,774.2,825.3,706000,6296000,0.13,0.00,124216,9455.565,0,15.31,10.2,5.13,,2326.8
Jammu and Kashmir,2013,10.9,651.9,534.6,3526000,9035000,0.20,0.00,675560,16962.490,0,,,,,4123.091
Jharkhand,2013,16.1,844.5,1091.9,8395000,25905000,1.65,0.00,660578,46319.035,0,30.76,24.79,18.87,,75817.8
Karnataka,2013,25.1,4981.4,4249.8,24891000,37667000,1.82,3.89,3358254,84478.898,4.507959682,31.62,26.18,20.8,,77247
Kerala,2013,21.1,2561.2,2039.6,18086000,15867000,1.87,4.91,1196942,45850.443,4.507959682,30.72,26.64,22.61,,27.794
Lakshadweep,2013,36,1057,998.5,55000,10000,0.00,0.21,12394,87.777,0,30.94,27.88,24.89,,143.582
Madhya Pradesh,2013,19.7,2607.3,1927.3,21073000,54437000,1.44,0.00,2373743,101969.398,0,32.08,25.49,18.95,,22973.95
Maharashtra,2013,20.3,6485.2,5281.1,52912000,62427000,1.34,4.38,8062611,155754.846,4.507959682,33.1,26.68,20.3,,587285
Manipur,2013,9.5,995.2,1496.9,874000,2052000,0.31,0.00,39273,3951.297,0,24.3,19.53,14.82,,5475
Meghalaya,2013,8.1,1168.4,1792.8,614000,2426000,0.12,0.00,53202,4105.244,0,25.95,21.52,17.14,,4015
Mizoram,2013,10,995.2,1496.9,593000,531000,0.07,0.00,70318,1517.860,0,25.76,21.17,16.63,,45625
Nagaland,2013,7.3,995.2,1496.9,651000,1376000,0.08,0.00,99898,2737.279,0,24.09,19.15,14.26,,254.7332
Odisha,2013,24.2,1115.6,1149.9,7336000,35568000,5.06,1.48,535429,57937.956,4.507959682,31.14,25.74,20.38,,896.618
Puducherry,2013,25.7,321.5,317.2,907000,413000,0.06,0.40,141202,1782.540,4.507959682,32.56,28.57,24.64,,16048.1125
Punjab,2013,15.5,479.7,491.9,10884000,17511000,1.30,0.00,1556920,38344.869,0,31.23,24.78,18.38,,377.765
Rajasthan,2013,23.3,1114,879,17957000,53247000,0.59,0.00,2252923,96154.536,0,33.06,25.99,18.97,,97338.7675
Sikkim,2013,18.3,1717.6,2006.2,185000,441000,0.00,0.00,25672,845.356,0,10.72,4.77,-1.17,,5.3765
Tamil Nadu,2013,25.6,321.5,317.2,36229000,37079000,1.89,4.96,4017572,98995.797,4.507959682,32.24,27.7,23.21,,250820.5763
Telangana,2013,25.9,949.2,755.2,14472000,21188000,2.50,0.00,2915984,48155.592,0,,,,,243820
Tripura,2013,17.5,995.2,1496.9,1078000,2686000,0.70,0.00,143499,5082.940,0,29.22,24.3,19.43,,11680
Uttar Pradesh,2013,18.3,1623.2,1667,46914000,160493000,5.86,0.00,5372155,280084.320,0,32.09,25.62,19.19,,92151.7604
Uttarakhand,2013,16,1373,1229.1,3259000,7139000,0.04,0.00,434830,14041.555,0,19.29,14.13,9.01,,29245.1391
West Bengal,2013,23.9,2885.3,3174.1,30537000,62514000,15.16,1.68,4296060,125656.926,4.507959682,30.74,25.47,20.24,,289505.401
Andaman and Nicobar Islands,2012,40.2,2054.7,1682.5,147000,237000,0.00,0.38,34320,518.557,0,31.12,27.47,23.88,,2555
Andhra Pradesh,2012,26.6,1012.5,979.4,15130000,34926000,26.78,5.55,2305567,67596.083,4.507959682,33.51,28.06,22.66,,243820
Arunachal Pradesh,2012,7.7,1846.1,1768,326000,1077000,0.04,0.00,48435,1894.624,0,23.93,18.6,13.32,,3559.0623
Assam,2012,9,1738.4,1792.8,4525000,27204000,3.07,0.00,1600809,42847.133,0,28.06,23.05,18.09,,1116
Bihar,2012,19.8,813,1027.6,12183000,94604000,5.21,0.00,1014789,144206.147,0,31.54,25.48,19.47,,62180.2851
Chandigarh,2012,16.4,282.9,466.3,1053000,24000,0.00,0.00,158407,1454.391,0,29.51,23.7,17.97,,4964
Chhattisgarh,2012,18.8,1227.5,1147.3,6178000,19908000,4.14,0.00,923975,35226.774,0,32.23,26.21,20.23,,5840
Dadra and Nagar Haveli and Daman and Diu,2012,22.6,958.7,1374.5,748000,231000,0.00,0.36,40962,1322.051,4.507959682,,,,,2816.541
Delhi,2012,19.4,282.9,466.3,16918000,374000,0.01,0.00,3403800,23351.276,0,31.38,25.32,19.32,,251850
Goa,2012,22,2817.6,2914.3,939000,534000,0.05,1.07,70244,1989.153,4.507959682,31.53,27.14,22.8,,1642.5
Gujarat,2012,20.8,958.7,1374.5,26717000,34981000,1.24,6.50,3314923,83317.547,4.507959682,33.54,27,20.52,,251796.65
Haryana,2012,16,282.9,466.3,9252000,16660000,1.53,0.00,1644559,34991.803,0,31.36,25.09,18.88,,55480
Himachal Pradesh,2012,17.4,696.3,825.3,699000,6244000,0.12,0.00,123170,9375.891,0,14.81,10.03,5.28,,106.72
Jammu and Kashmir,2012,11,558.8,534.6,3459000,8976000,0.20,0.00,668784,16792.338,0,,,,,11748
Jharkhand,2012,14.8,938.5,1091.9,8196000,25542000,1.62,0.00,649754,45560.105,0,31.12,25.06,19.05,,81030
Karnataka,2012,22.4,3922.4,4249.8,24345000,37586000,1.80,3.85,3324595,83632.192,4.507959682,31.82,26.39,21.01,,77247
Kerala,2012,21.1,1547.7,2039.6,17157000,16562000,1.86,4.87,1188693,45534.448,4.507959682,30.9,26.82,22.79,,50370
Lakshadweep,2012,31.8,1147.1,998.5,53000,12000,0.00,0.21,12394,87.777,0,31.07,28.01,25.02,,143.582
Madhya Pradesh,2012,19.8,2018.3,1927.3,20642000,53633000,1.42,0.00,2334919,100301.643,0,32.37,25.78,19.24,,23400
Maharashtra,2012,20.3,4853.3,5281.1,52011000,62057000,1.32,4.33,7973763,154038.476,4.507959682,33.36,26.94,20.56,,10950
Manipur,2012,9.3,1122.6,1496.9,857000,2038000,0.31,0.00,38857,3909.435,0,24.29,19.48,14.71,,4380
Meghalaya,2012,8.1,1738.4,1792.8,606000,2401000,0.12,0.00,52624,4060.680,0,26.06,21.47,16.94,,4599
Mizoram,2012,10.6,1122.6,1496.9,584000,528000,0.07,0.00,69567,1501.655,0,25.84,21.21,16.64,,1682.5
Nagaland,2012,7.6,1122.6,1496.9,616000,1389000,0.08,0.00,98814,2707.570,0,23.99,19.05,14.15,,251.9685
Odisha,2012,24.9,1144,1149.9,7193000,35312000,5.02,1.47,530450,57399.143,4.507959682,31.55,26.12,20.74,,85571.031
Puducherry,2012,27.4,243.5,317.2,884000,405000,0.06,0.39,137886,1740.677,4.507959682,32.79,28.79,24.86,,4927.5
Punjab,2012,16.4,265.9,491.9,10675000,17441000,1.29,0.00,1541622,37968.105,0,30.81,24.53,18.31,,113049.6655
Rajasthan,2012,23.4,971.7,879,17566000,52500000,0.58,0.00,2216916,94617.771,0,32.93,25.87,18.85,,95783.0752
Sikkim,2012,18.5,2091.3,2006.2,171000,448000,0.00,0.00,25385,835.903,0,10.87,4.69,-1.45,,1668.05
Tamil Nadu,2012,26.1,243.5,317.2,35664000,37147000,1.88,4.92,3990334,98324.644,4.507959682,32.47,27.93,23.44,,205724.95
Telangana,2012,23.9,787.2,755.2,14099000,21269000,2.48,0.00,2892106,47761.272,0,,,,,174800.4899
Tripura,2012,17.1,1122.6,1496.9,1028000,2696000,0.69,0.00,141974,5028.924,0,29.39,24.4,19.45,,10950
Uttar Pradesh,2012,20.4,1346.6,1667,45872000,158280000,5.77,0.00,5287846,275688.738,0,32.29,25.85,19.46,,232896.581
Uttarakhand,2012,15.9,1122.2,1229.1,3168000,7097000,0.04,0.00,429268,13861.950,0,19.04,14.2,9.39,,28871.0669
West Bengal,2012,22.1,3048,3174.1,29914000,62376000,15.04,1.67,4260925,124629.265,4.507959682,31.01,25.62,20.28,,200750
Andaman and Nicobar Islands,2011,37.3,2278.2,1682.5,144000,237000,0.00,0.38,34052,514.506,,30.79,27.15,23.57,,2535.039
Andhra Pradesh,2011,28.7,915,979.4,14740000,34957000,26.58,5.51,2289032,67111.286,6588.63,33.26,27.81,22.41,,28888
Arunachal Pradesh,2011,7.3,1378,1768,319000,1069000,0.04,0.00,47917,1874.368,,24.3,18.84,13.43,,3521.011
Assam,2011,8.1,1256.7,1792.8,4430000,26906000,3.04,0.00,1580981,42316.423,,28.49,23.53,18.62,,1102.177
Bihar,2011,18.9,1058.5,1027.6,11864000,92907000,5.11,0.00,995631,141483.722,,31.52,25.63,19.79,,61006.4019
Chandigarh,2011,15.4,379.2,466.3,1033000,28000,0.00,0.00,156053,1432.784,,29.88,23.88,17.93,,5548
Chhattisgarh,2011,18.2,1220.4,1147.3,5997000,19683000,4.08,0.00,909595,34678.508,,32.09,26.06,20.09,,5749.1068
Dadra and Nagar Haveli and Daman and Diu,2011,23.4,1621,1374.5,808000,230000,0.00,0.38,43431,1401.725,541.105,,,,,2986.2814
Delhi,2011,16.8,379.2,466.3,16506000,408000,0.01,0.00,3329393,22840.821,,31.66,25.49,19.37,,246344.6044
Goa,2011,20.2,3716.3,2914.3,915000,547000,0.05,1.06,69720,1974.298,541.105,31.33,26.94,22.6,,415
Gujarat,2011,22,1621,1374.5,25987000,34767000,1.22,6.40,3264203,82042.760,8217.44,33.76,27.23,20.74,,247944.0771
Haryana,2011,15.6,379.2,466.3,8944000,16548000,1.50,0.00,1617903,34424.631,,31.64,25.27,18.95,,54580.7409
Himachal Pradesh,2011,14.6,732.8,825.3,691000,6193000,0.12,0.00,122123,9296.217,,15.22,10.23,5.27,,202.67
Jammu and Kashmir,2011,12.5,520.6,534.6,3393000,8916000,0.19,0.00,662007,16622.187,,,,,,11628.9611
Jharkhand,2011,13.6,1160.6,1091.9,7999000,25177000,1.60,0.00,638931,44801.175,,31.2,25.23,19.31,,16691.05
Karnataka,2011,23.5,4856.5,4249.8,23805000,37499000,1.78,3.81,3290936,82785.485,1892.95,31.59,26.16,20.78,,76464.9382
Kerala,2011,19.2,2216,2039.6,16240000,17244000,1.84,4.84,1180409,45217.102,3855.59,30.66,26.57,22.55,,109500
Lakshadweep,2011,36.9,1014,998.5,51000,14000,0.00,0.21,12394,87.777,,30.86,27.8,24.81,,143.582
Madhya Pradesh,2011,20.1,2256.8,1927.3,20212000,52827000,1.40,0.00,2296064,98632.537,,32.33,25.73,19.19,,16887
Maharashtra,2011,19,6008,5281.1,51116000,61682000,1.31,4.28,7884986,152323.457,4413.21,33.28,26.86,20.48,,1045.24
Manipur,2011,8.9,1094.6,1496.9,840000,2024000,0.30,0.00,38441,3867.572,,24.56,19.91,15.31,,4333.0984
Meghalaya,2011,7.9,1256.7,1792.8,598000,2377000,0.12,0.00,52064,4017.467,,26.53,22.04,17.61,,4550.0581
Mizoram,2011,8.9,1094.6,1496.9,575000,525000,0.07,0.00,68816,1485.450,,26.26,21.76,17.33,,1664.3435
Nagaland,2011,8,1094.6,1496.9,582000,1402000,0.08,0.00,97779,2679.212,,24.31,19.48,14.71,,249.3294
Odisha,2011,20.9,1107.6,1149.9,7051000,35056000,4.97,1.45,525483,56861.680,3224.61,31.55,26.14,20.78,,84769.7777
Puducherry,2011,27.2,298.9,317.2,861000,397000,0.06,0.38,134570,1698.815,205.436,32.55,28.56,24.63,,4808.9953
Punjab,2011,15.4,459.4,491.9,10468000,17368000,1.28,0.00,1526269,37589.990,,31.16,24.76,18.41,,31000
Rajasthan,2011,20.3,1230.6,879,17177000,51751000,0.57,0.00,2180909,93081.005,,33.2,26.13,19.1,,94227.3828
Sikkim,2011,18.2,1871.4,2006.2,158000,454000,0.00,0.00,25098,826.450,,10.85,4.88,-1.09,,1649.1867
Tamil Nadu,2011,25.4,298.9,317.2,35103000,37210000,1.87,4.89,3963042,97652.140,6133.73,32.23,27.69,23.2,,204317.8683
Telangana,2011,26.3,656.8,755.2,13731000,21346000,2.46,0.00,2868311,47368.303,,,,,,173362.2705
Tripura,2011,14.4,1094.6,1496.9,978000,2706000,0.69,0.00,140449,4974.907,,29.88,24.98,20.14,,182.5
Uttar Pradesh,2011,16.8,1545.3,1667,44839000,156058000,5.68,0.00,5203536,271293.156,,32.3,25.85,19.46,,229183.2773
Uttarakhand,2011,15,1454.3,1229.1,3079000,7052000,0.04,0.00,423665,13680.996,,19.36,14.29,9.27,,28494.182
West Bengal,2011,18.6,3263,3174.1,29298000,62232000,14.92,1.65,4225837,123602.954,1063.87,31.3,26.02,20.8,,199096.8414